price,charges,surface,disposition,address,district
18000,3195,36,DISP_1_1,"Šlikova, Praha - Břevnov",Praha-Břevnov
61000,10765,59,UNDEFINED,"Ocelářská, Praha - Libeň",Praha-Libeň
18562,865,45,DISP_2_KK,"Vrchlického, Praha - Košíře",Praha-Košíře
29000,5300,67,DISP_2_KK,"Na Spojce, Praha - Vršovice",Praha-Vršovice
14999,3000,32,DISP_1_KK,"Na Cikánce, Praha - Radotín",Praha-Radotín
19990,6500,46,DISP_1_KK,"Pod Kesnerkou, Praha - Smíchov",Praha-Smíchov
21900,5000,53,DISP_2_KK,"Vladivostocká, Praha - Vršovice",Praha-Vršovice
26990,0,73,DISP_3_1,"Prusíkova, Praha - Stodůlky",Praha-Stodůlky
28953,5109,34,UNDEFINED,"Zbraslavská, Praha - Malá Chuchle",Praha-Malá Chuchle
23000,3500,43,DISP_2_KK,"Skuteckého, Praha - Řepy",Praha-Řepy
27900,0,45,DISP_2_KK,"Sládkova, Praha - Bubeneč",Praha-Bubeneč
19600,4000,39,DISP_1_KK,"Nad Dalejským údolím, Praha - Stodůlky",Praha-Stodůlky
22990,0,53,DISP_2_KK,"Honzíkova, Praha - Dolní Měcholupy",Praha-Dolní Měcholupy
38000,4000,100,DISP_3_1,"Solidarity, Praha - Strašnice",Praha-Strašnice
17490,0,44,DISP_2_KK,"Ohradní, Praha - Michle",Praha-Michle
29700,6330,63,DISP_3_KK,"Nepomuckých, Praha - Letňany",Praha-Letňany
66116,11668,100,UNDEFINED,"Londýnská, Praha - Vinohrady",Praha-Vinohrady
29500,3500,70,DISP_2_1,"Národní obrany, Praha - Bubeneč",Praha-Bubeneč
26500,6000,58,DISP_2_KK,"Na Maninách, Praha - Holešovice",Praha-Holešovice
28000,4600,100,DISP_3_KK,"Lucemburská, Praha - Vinohrady",Praha-Vinohrady
23490,0,56,DISP_2_1,"Lublaňská, Praha - Vinohrady",Praha-Vinohrady
18500,4500,74,DISP_2_KK,"K Pitkovicům, Praha - Benice",Praha-Benice
16000,3500,22,DISP_1_KK,"V Šáreckém údolí, Praha - Dejvice",Praha-Dejvice
21990,0,56,DISP_3_KK,"Hurbanova, Praha - Krč",Praha-Krč
16490,0,32,DISP_1_KK,"Poděbradská, Praha - Hloubětín",Praha-Hloubětín
25193,4446,52,UNDEFINED,"Na Bečvářce, Praha - Dejvice",Praha-Dejvice
17600,0,36,DISP_1_KK,"Českobrodská, Praha - Hostavice",Praha-Hostavice
35999,0,90,DISP_3_KK,"Vrázova, Praha - Smíchov",Praha-Smíchov
38300,0,61,DISP_3_1,"U Pergamenky, Praha - Holešovice",Praha-Holešovice
26693,12979,35,UNDEFINED,"Hlaváčkova, Praha - Košíře",Praha-Košíře
28500,4644,44,DISP_2_KK,"Poděbradská, Praha - Vysočany",Praha-Vysočany
29000,5200,60,DISP_2_KK,"Petrohradská, Praha - Vršovice",Praha-Vršovice
30258,11657,25,UNDEFINED,"Freyova, Praha - Vysočany",Praha-Vysočany
28000,1,45,DISP_2_KK,"Chvalova, Praha - Žižkov",Praha-Žižkov
27900,4500,39,DISP_1_KK,"U Mlýnského kanálu, Praha - Karlín",Praha-Karlín
13500,1500,19,GARSONIERA,"Šmolíkova, Praha - Ruzyně",Praha-Ruzyně
